Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Сортировка выбором; 50; Рандом от 0 до 5; 4963
Сортировка пузырьком; 50; Рандом от 0 до 5; 9910
Сортировка пузырьком (Айверсон 1); 50; Рандом от 0 до 5; 9918
Сортировка пузырьком (Айверсон 1 + 2); 50; Рандом от 0 до 5; 9921
Сортировка вставками; 50; Рандом от 0 до 5; 9922
Сортировка бинарными вставками; 50; Рандом от 0 до 5; 4957
Сортировка подсчетом; 50; Рандом от 0 до 5; 19844
Цифровая сортировка; 50; Рандом от 0 до 5; 4959
Сортировка слиянием; 50; Рандом от 0 до 5; 14881
Быстрая сортировка (Разбиение Хоара); 50; Рандом от 0 до 5; 0
Быстрая сортировка (Разбиение Ломуто); 50; Рандом от 0 до 5; 4959
Пирамидальная сортировка; 50; Рандом от 0 до 5; 4957
Сортировка выбором; 60; Рандом от 0 до 5; 4960
Сортировка пузырьком; 60; Рандом от 0 до 5; 14872
Сортировка пузырьком (Айверсон 1); 60; Рандом от 0 до 5; 14878
Сортировка пузырьком (Айверсон 1 + 2); 60; Рандом от 0 до 5; 14881
Сортировка вставками; 60; Рандом от 0 до 5; 9918
Сортировка бинарными вставками; 60; Рандом от 0 до 5; 9921
Сортировка подсчетом; 60; Рандом от 0 до 5; 19836
Цифровая сортировка; 60; Рандом от 0 до 5; 0
Сортировка слиянием; 60; Рандом от 0 до 5; 19840
Быстрая сортировка (Разбиение Хоара); 60; Рандом от 0 до 5; 0
Быстрая сортировка (Разбиение Ломуто); 60; Рандом от 0 до 5; 4954
Пирамидальная сортировка; 60; Рандом от 0 до 5; 9923
Сортировка выбором; 70; Рандом от 0 до 5; 4960
Сортировка пузырьком; 70; Рандом от 0 до 5; 29757
Сортировка пузырьком (Айверсон 1); 70; Рандом от 0 до 5; 19840
Сортировка пузырьком (Айверсон 1 + 2); 70; Рандом от 0 до 5; 19838
Сортировка вставками; 70; Рандом от 0 до 5; 14880
Сортировка бинарными вставками; 70; Рандом от 0 до 5; 9921
Сортировка подсчетом; 70; Рандом от 0 до 5; 19845
Цифровая сортировка; 70; Рандом от 0 до 5; 4953
Сортировка слиянием; 70; Рандом от 0 до 5; 14880
Быстрая сортировка (Разбиение Хоара); 70; Рандом от 0 до 5; 0
Быстрая сортировка (Разбиение Ломуто); 70; Рандом от 0 до 5; 4960
Пирамидальная сортировка; 70; Рандом от 0 до 5; 9927
Сортировка выбором; 80; Рандом от 0 до 5; 9911
Сортировка пузырьком; 80; Рандом от 0 до 5; 29757
Сортировка пузырьком (Айверсон 1); 80; Рандом от 0 до 5; 29768
Сортировка пузырьком (Айверсон 1 + 2); 80; Рандом от 0 до 5; 24809
Сортировка вставками; 80; Рандом от 0 до 5; 19830
Сортировка бинарными вставками; 80; Рандом от 0 до 5; 24803
Сортировка подсчетом; 80; Рандом от 0 до 5; 29763
Цифровая сортировка; 80; Рандом от 0 до 5; 4958
Сортировка слиянием; 80; Рандом от 0 до 5; 24803
